Gene ID	Associated Gene Name	chromosome	start	end	Strand	Band
ENSG00000179055	OR13D1	9	107456660	107457766	1	q31.1
ENSG00000237443	OR13D2P	9	107352325	107353231	1	q31.1
ENSG00000188712	OR13D3P	9	107484616	107485552	1	q31.1
ENSG00000236083	OR13E1P	9	35859059	35859980	-1	p13.3
ENSG00000186881	OR13F1	9	107266455	107267547	1	q31.1
ENSG00000197437	OR13G1	1	247835320	247836365	-1	q44
ENSG00000171054	OR13H1	X	130677950	130679030	1	q26.2
ENSG00000273423	OR13I1P	9	107392035	107393298	1	q31.1
ENSG00000168828	OR13J1	9	35869375	35870461	-1	p13.3
ENSG00000237225	OR13K1P	X	130696712	130697808	1	q26.2
ENSG00000226653	OR13Z1P	1	146890777	146891610	1	q21.1
ENSG00000272443	OR13Z2P	1	146917312	146917866	1	q21.1
ENSG00000272480	OR13Z3P	1	146953988	146954378	1	q21.1
ENSG00000196772	OR14A16	1	247978102	247979031	-1	q44
ENSG00000241128	OR14A2	1	247886401	247887345	-1	q44
ENSG00000177174	OR14C36	1	248512077	248513015	1	q44
ENSG00000189181	OR14I1	1	248844628	248845629	-1	q44
ENSG00000204695	OR14J1	6	29274403	29275519	1	p22.1
ENSG00000153230	OR14K1	1	247901917	247902861	1	q44
ENSG00000198452	OR14L1P	1	247782945	247783872	1	q44
ENSG00000172146	OR1A1	17	3118915	3119844	1	p13.3
ENSG00000172150	OR1A2	17	3100813	3101742	1	p13.3
ENSG00000234288	OR1AA1P	X	130558273	130559188	1	q26.2
ENSG00000267450	OR1AB1P	19	16162739	16163499	1	p13.12
ENSG00000267129	OR1AC1P	17	3280821	3280896	-1	p13.3
ENSG00000171484	OR1B1	9	125390858	125391852	-1	q33.2
ENSG00000221888	OR1C1	1	247920676	247921982	-1	q44
ENSG00000184166	OR1D2	17	2995352	2996290	-1	p13.3
ENSG00000262106	OR1D3P	17	3168905	3169835	1	p13.3
ENSG00000255095	OR1D4	17	3143970	3144908	1	p13.3
ENSG00000262628	OR1D5	17	2965963	2966901	-1	p13.3
ENSG00000180016	OR1E1	17	3300398	3301704	-1	p13.2
ENSG00000127780	OR1E2	17	3336164	3337135	-1	p13.2
ENSG00000142163	OR1E3	17	3019717	3020660	1	p13.3
ENSG00000168124	OR1F1	16	3254247	3255188	1	p13.3
ENSG00000220721	OR1F12	6	28041094	28042011	1	p22.1
ENSG00000203581	OR1F2P	16	3265562	3266546	1	p13.3
ENSG00000183024	OR1G1	17	3029878	3030875	-1	p13.3
ENSG00000228914	OR1H1P	9	125370315	125371079	1	q33.2
ENSG00000094661	OR1I1	19	15197791	15199032	1	p13.12
ENSG00000136834	OR1J1	9	125239220	125240235	-1	q33.2
ENSG00000197233	OR1J2	9	125273081	125274022	1	q33.2
ENSG00000239590	OR1J4	9	125281420	125282361	1	q33.2
ENSG00000165204	OR1K1	9	125562370	125563395	1	q33.2
ENSG00000173679	OR1L1	9	125423845	125424927	1	q33.2
ENSG00000171481	OR1L3	9	125437315	125438432	1	q33.2
ENSG00000136939	OR1L4	9	125486269	125487204	1	q33.2
ENSG00000171459	OR1L6	9	125512019	125513062	1	q33.2
ENSG00000171496	OR1L8	9	125329778	125330838	-1	q33.2
ENSG00000170929	OR1M1	19	9203855	9204889	1	p13.2
ENSG00000267154	OR1M4P	19	9193788	9194074	-1	p13.2
ENSG00000171505	OR1N1	9	125288637	125289572	-1	q33.2
ENSG00000171501	OR1N2	9	125315391	125316493	1	q33.2
ENSG00000262085	OR1P1	17	3057183	3058176	-1	p13.3
ENSG00000165202	OR1Q1	9	125376948	125378026	1	q33.2
ENSG00000180042	OR1R1P	17	3289224	3290132	1	p13.3
ENSG00000172774	OR1S1	11	57982217	57983195	1	q12.1
ENSG00000197887	OR1S2	11	57970674	57971653	-1	q12.1
ENSG00000272494	OR1X1P	5	175433148	175434390	1	q35.2
ENSG00000214351	OR1X5P	5	177263435	177264647	-1	q35.3
ENSG00000221970	OR2A1	7	144015218	144016150	1	q35
ENSG00000221858	OR2A12	7	143792141	143793186	1	q35
ENSG00000273234	OR2A13P	7	143839102	143840031	1	q35
ENSG00000221938	OR2A14	7	143826151	143827162	1	q35
ENSG00000239981	OR2A15P	7	143815554	143816453	-1	q35
ENSG00000221989	OR2A2	7	143806607	143807657	1	q35
ENSG00000170356	OR2A20P	7	143947138	143950050	-1	q35
ENSG00000221933	OR2A25	7	143771275	143772288	1	q35
ENSG00000183122	OR2A3P	7	143854319	143855271	1	q35
ENSG00000180658	OR2A4	6	132021520	132022635	-1	q23.2
ENSG00000239967	OR2A41P	7	143774814	143774918	1	q35
ENSG00000212807	OR2A42	7	143929004	143929936	-1	q35
ENSG00000221836	OR2A5	7	143747461	143748473	1	q35
ENSG00000243896	OR2A7	7	143955700	143956815	-1	q35
ENSG00000228960	OR2A9P	7	143991573	143998027	1	q35
ENSG00000223677	OR2AD1P	6	28994457	28995384	-1	p22.1
ENSG00000244623	OR2AE1	7	99473610	99474680	-1	q22.1
ENSG00000235730	OR2AF1P	X	130753023	130753911	1	q26.2
ENSG00000170803	OR2AG1	11	6806248	6807245	1	p15.4
ENSG00000188124	OR2AG2	11	6789218	6790286	-1	p15.4
ENSG00000232511	OR2AH1P	11	56436493	56437420	-1	q12.1
ENSG00000236791	OR2AI1P	5	180119832	180120763	-1	q35.3
ENSG00000177275	OR2AJ1	1	248097071	248098057	1	q44
ENSG00000187080	OR2AK2	1	248128535	248129641	1	q44
ENSG00000254767	OR2AL1P	11	105065167	105065673	-1	q22.3
ENSG00000236110	OR2AM1P	9	36021689	36022110	1	p13.3
ENSG00000240621	OR2AO1P	7	143873833	143874235	1	q35
ENSG00000179615	OR2AP1	12	55968199	55969128	1	q13.2
ENSG00000229724	OR2AQ1P	1	158765804	158766003	1	q23.1
ENSG00000227102	OR2AS1P	1	248712745	248713063	-1	q44
ENSG00000271934	OR2AS2P	1	248661609	248661929	1	q44
ENSG00000254475	OR2AT1P	11	74842183	74842925	-1	q13.4
ENSG00000234611	OR2AT2P	11	74782193	74783097	-1	q13.4
ENSG00000171561	OR2AT4	11	74799758	74800799	-1	q13.4
ENSG00000177535	OR2B11	1	247614255	247615308	-1	q44
ENSG00000168131	OR2B2	6	27878963	27880174	-1	p22.1
ENSG00000204703	OR2B3	6	29053985	29055090	-1	p22.1
ENSG00000197171	OR2B4P	6	29258488	29259430	1	p22.1
ENSG00000124657	OR2B6	6	27925019	27925960	1	p22.1
ENSG00000187763	OR2B7P	6	28014212	28015145	1	p22.1
ENSG00000182477	OR2B8P	6	28021006	28021943	-1	p22.1
ENSG00000272882	OR2BH1P	11	29008182	29009045	1	p14.1
ENSG00000168158	OR2C1	16	3405889	3406924	1	p13.3
ENSG00000196242	OR2C3	1	247693434	247697141	-1	q44
ENSG00000166368	OR2D2	11	6912721	6913830	-1	p15.4
ENSG00000178358	OR2D3	11	6942205	6943264	1	p15.4
ENSG00000219262	OR2E1P	6	28423425	28423918	-1	p22.1
ENSG00000213215	OR2F1	7	143657027	143658108	1	q35
ENSG00000221910	OR2F2	7	143632259	143633372	1	q35
ENSG00000213911	OR2G1P	6	29197004	29197934	-1	p22.1
ENSG00000177489	OR2G2	1	247751662	247752615	1	q44
ENSG00000177476	OR2G3	1	247768856	247769838	1	q44
ENSG00000188558	OR2G6	1	248684916	248685964	1	q44
ENSG00000204688	OR2H1	6	29424958	29432105	1	p22.1
ENSG00000204657	OR2H2	6	29555683	29556745	1	p22.1
ENSG00000230598	OR2H4P	6	29183013	29183956	1	p22.1
ENSG00000232173	OR2H5P	6	29541686	29542613	1	p22.1
ENSG00000237988	OR2I1P	6	29520996	29521943	1	p22.1
ENSG00000204702	OR2J1	6	29068386	29069658	1	p22.1
ENSG00000204700	OR2J2	6	29141311	29142351	1	p22.1
ENSG00000204701	OR2J3	6	29079668	29080603	1	p22.1
ENSG00000224233	OR2J4P	6	29149287	29150222	1	p22.1
ENSG00000171133	OR2K2	9	114089763	114090800	-1	q31.3
ENSG00000196071	OR2L13	1	248100493	248264224	1	q44
ENSG00000224227	OR2L1P	1	248153569	248154506	1	q44
ENSG00000203663	OR2L2	1	248201474	248202607	1	q44
ENSG00000198128	OR2L3	1	248223984	248224922	1	q44
ENSG00000197454	OR2L5	1	248185250	248186188	1	q44
ENSG00000232215	OR2L6P	1	248166431	248167370	1	q44
ENSG00000196936	OR2L8	1	248112160	248113098	1	q44
ENSG00000237492	OR2L9P	1	248138043	248138955	1	q44
ENSG00000177233	OR2M1P	1	248285234	248286184	1	q44
ENSG00000198601	OR2M2	1	248343288	248344331	1	q44
ENSG00000228198	OR2M3	1	248366332	248367392	1	q44
ENSG00000171180	OR2M4	1	248402231	248403166	1	q44
ENSG00000162727	OR2M5	1	248308450	248309388	1	q44
ENSG00000177186	OR2M7	1	248486894	248487899	-1	q44
ENSG00000203492	OR2N1P	6	29105657	29106593	-1	p22.1
ENSG00000236909	OR2P1P	6	29039601	29040376	-1	p22.1
ENSG00000273377	OR2Q1P	7	143677998	143678913	1	q35
ENSG00000236853	OR2R1P	7	143185582	143186495	-1	q35
ENSG00000228307	OR2S1P	9	36013181	36014130	1	p13.3
ENSG00000122718	OR2S2	9	35957105	35958151	-1	p13.3
ENSG00000175143	OR2T1	1	248569296	248570405	1	q44
ENSG00000184022	OR2T10	1	248756052	248757100	-1	q44
ENSG00000183130	OR2T11	1	248789420	248790491	-1	q44
ENSG00000177201	OR2T12	1	248457918	248458880	-1	q44
ENSG00000196240	OR2T2	1	248616077	248617130	1	q44
ENSG00000187701	OR2T27	1	248813232	248814185	-1	q44
ENSG00000182783	OR2T29	1	248721784	248722797	-1	q44
ENSG00000196539	OR2T3	1	248636627	248637634	1	q44
ENSG00000197067	OR2T32P	1	248246936	248247898	-1	q44
ENSG00000177212	OR2T33	1	248436073	248437138	-1	q44
ENSG00000183310	OR2T34	1	248737022	248738080	-1	q44
ENSG00000177151	OR2T35	1	248801588	248802559	-1	q44
ENSG00000196944	OR2T4	1	248524883	248525929	1	q44
ENSG00000203661	OR2T5	1	248651885	248652898	1	q44
ENSG00000198104	OR2T6	1	248550910	248551836	1	q44
ENSG00000227152	OR2T7	1	248604508	248605434	1	q44
ENSG00000177462	OR2T8	1	248084320	248085258	1	q44
ENSG00000204697	OR2U1P	6	29230480	29231856	-1	p22.1
ENSG00000242524	OR2U2P	6	29236239	29237198	-1	p22.1
ENSG00000185372	OR2V1	5	180551357	180552304	-1	q35.3
ENSG00000182613	OR2V2	5	180581943	180582890	1	q35.3
ENSG00000204704	OR2W1	6	29011990	29013017	-1	p22.1
ENSG00000217315	OR2W2P	6	28001725	28002633	1	p22.1
ENSG00000238243	OR2W3	1	248031277	248060449	1	q44
ENSG00000216629	OR2W4P	6	27944928	27945853	1	p22.1
ENSG00000203664	OR2W5	1	247654370	247655710	1	q44
ENSG00000168126	OR2W6P	6	27905243	27906181	1	p22.1
ENSG00000224830	OR2X1P	1	248102275	248102961	1	q44
ENSG00000174339	OR2Y1	5	180166042	180167099	-1	q35.3
ENSG00000181733	OR2Z1	19	8841316	8842371	1	p13.2
ENSG00000180090	OR3A1	17	3194929	3195876	-1	p13.3
ENSG00000221882	OR3A2	17	3181193	3182268	-1	p13.3
ENSG00000159961	OR3A3	17	3323862	3324827	1	p13.2
ENSG00000180068	OR3A4P	17	3213539	3214740	1	p13.3
ENSG00000237619	OR3B1P	X	153887064	153887956	-1	q28
ENSG00000230411	OR3D1P	1	247830189	247831143	1	q44
ENSG00000254886	OR4A10P	11	55199433	55199843	1	q11
ENSG00000254663	OR4A11P	11	55086036	55086941	1	q11
ENSG00000254723	OR4A12P	11	55093232	55094149	1	q11
ENSG00000181950	OR4A13P	11	55234247	55235188	1	q11
ENSG00000254962	OR4A14P	11	55245027	55245985	1	q11
ENSG00000181958	OR4A15	11	55135360	55136394	1	q11
ENSG00000181961	OR4A16	11	55110627	55111707	1	q11
ENSG00000255196	OR4A17P	11	55211911	55212814	1	q11
ENSG00000254637	OR4A18P	11	49938943	49940030	-1	p11.12
ENSG00000254940	OR4A19P	11	49941864	49942966	-1	p11.12
ENSG00000254408	OR4A1P	11	49919819	49920738	-1	p11.12
ENSG00000181943	OR4A21P	11	55258628	55259618	1	q11
ENSG00000227547	OR4A2P	11	51451070	51451982	-1	p11.12
ENSG00000254464	OR4A3P	11	51455830	51456700	-1	p11.12
ENSG00000254832	OR4A40P	11	48533825	48534772	1	p11.2
ENSG00000255297	OR4A41P	11	48611312	48612239	1	p11.2
ENSG00000254674	OR4A42P	11	48631615	48632552	1	p11.2
ENSG00000255534	OR4A43P	11	48547616	48548523	1	p11.2
ENSG00000255053	OR4A44P	11	48649098	48650045	1	p11.2
ENSG00000213607	OR4A45P	11	48600988	48601888	1	p11.2
ENSG00000255304	OR4A46P	11	48517900	48518832	1	p11.2
ENSG00000237388	OR4A47	11	48510269	48511332	1	p11.2
ENSG00000255113	OR4A48P	11	48513578	48513968	1	p11.2
ENSG00000254472	OR4A49P	11	49936565	49937196	-1	p11.12
ENSG00000254769	OR4A4P	11	51458685	51459614	-1	p11.12
ENSG00000221840	OR4A5	11	51411378	51412448	-1	p11.12
ENSG00000255294	OR4A50P	11	55243419	55243904	1	q11
ENSG00000255078	OR4A6P	11	51393464	51394433	-1	p11.12
ENSG00000255349	OR4A7P	11	51425921	51426830	-1	p11.12
ENSG00000254891	OR4A9P	11	55156005	55156948	1	q11
ENSG00000175619	OR4B1	11	48238344	48239314	1	p11.2
ENSG00000255514	OR4B2P	11	48248981	48249862	1	p11.2
ENSG00000184789	OR4C10P	11	48453769	48454699	-1	p11.2
ENSG00000172188	OR4C11	11	55370830	55371874	-1	q11
ENSG00000221954	OR4C12	11	50003009	50004071	-1	p11.12
ENSG00000258817	OR4C13	11	49973943	49974971	1	p11.12
ENSG00000233301	OR4C14P	11	55304478	55305400	1	q11
ENSG00000181939	OR4C15	11	55321783	55322895	1	q11
ENSG00000181935	OR4C16	11	55339604	55340536	1	q11
ENSG00000254576	OR4C1P	11	55277217	55278147	1	q11
ENSG00000182565	OR4C2P	11	48441762	48442825	1	p11.2
ENSG00000176547	OR4C3	11	48346472	48347507	1	p11.2
ENSG00000185926	OR4C46	11	51515282	51516211	1	p11.12
ENSG00000197161	OR4C4P	11	48366900	48373999	-1	p11.2
ENSG00000176540	OR4C5	11	48387037	48388017	-1	p11.2
ENSG00000237610	OR4C50P	11	51526871	51527800	-1	p11.12
ENSG00000181903	OR4C6	11	55432614	55433671	1	q11
ENSG00000255312	OR4C7P	11	51483325	51484243	1	p11.12
ENSG00000254925	OR4C9P	11	48485605	48486529	-1	p11.2
ENSG00000141194	OR4D1	17	56232494	56233517	1	q22
ENSG00000254466	OR4D10	11	59244846	59245869	1	q12.1
ENSG00000176200	OR4D11	11	59271049	59271984	1	q12.1
ENSG00000198787	OR4D12P	4	4128386	4129296	-1	p16.3
ENSG00000255713	OR4D2	17	56247017	56247940	1	q22
ENSG00000171014	OR4D5	11	123810250	123811344	1	q24.1
ENSG00000166884	OR4D6	11	59224411	59225464	1	q12.1
ENSG00000254770	OR4D7P	11	59299227	59300168	1	q12.1
ENSG00000204989	OR4D8P	11	59259125	59260054	1	q12.1
ENSG00000172742	OR4D9	11	59282386	59283330	1	q12.1
ENSG00000180636	OR4E1	14	22138203	22139150	-1	q11.2
ENSG00000221977	OR4E2	14	22133297	22134238	1	q11.2
ENSG00000214344	OR4F13P	15	102382322	102390527	1	q26.3
ENSG00000232459	OR4F14P	15	102368944	102369882	1	q26.3
ENSG00000182854	OR4F15	15	102358366	102359350	1	q26.3
ENSG00000185097	OR4F16	1	621059	622053	-1	p36.33
ENSG00000176695	OR4F17	19	107471	111696	1	p13.3
ENSG00000220212	OR4F1P	6	105919	106856	-1	p25.3
ENSG00000176269	OR4F21	8	116049	117043	-1	p23.3
ENSG00000257109	OR4F28P	15	102416167	102417104	1	q26.3
ENSG00000235249	OR4F29	1	367640	368634	1	p36.33
ENSG00000224777	OR4F2P	11	86649	87586	-1	p15.5
ENSG00000230178	OR4F3	5	180794269	180795263	1	q35.3
ENSG00000177693	OR4F4	15	102462245	102463298	-1	q26.3
ENSG00000186092	OR4F5	1	69091	70008	1	p36.33
ENSG00000184140	OR4F6	15	102345902	102346876	1	q26.3
ENSG00000217874	OR4F7P	6	170948694	170949624	1	q27
ENSG00000266971	OR4F8P	19	156279	157215	-1	p13.3
ENSG00000240361	OR4G11P	1	62948	63887	1	p36.33
ENSG00000267310	OR4G1P	19	104535	105471	1	p13.3
ENSG00000183909	OR4G2P	15	102467008	102467910	-1	q26.3
ENSG00000266945	OR4G3P	19	94062	96511	1	p13.3
ENSG00000268020	OR4G4P	1	52473	54936	1	p36.33
ENSG00000176312	OR4H12P	14	20228027	20228947	1	q11.2
ENSG00000261277	OR4H6P	15	22344660	22345900	1	q11.2
ENSG00000155249	OR4K1	14	20403767	20404842	1	q11.2
ENSG00000179381	OR4K11P	21	14916603	14917506	-1	q11.2
ENSG00000218549	OR4K12P	21	14953365	14954325	-1	q11.2
ENSG00000176253	OR4K13	14	20502003	20502919	-1	q11.2
ENSG00000169484	OR4K14	14	20482419	20483352	-1	q11.2
ENSG00000169488	OR4K15	14	20443603	20444818	1	q11.2
ENSG00000258822	OR4K16P	14	20424759	20425727	1	q11.2
ENSG00000176230	OR4K17	14	20585566	20586597	1	q11.2
ENSG00000165762	OR4K2	14	20344391	20345468	1	q11.2
ENSG00000176290	OR4K3	14	20336401	20337302	-1	q11.2
ENSG00000258541	OR4K4P	14	20374076	20374759	1	q11.2
ENSG00000176281	OR4K5	14	20388741	20389818	1	q11.2
ENSG00000228304	OR4K6P	14	20315526	20316422	1	q11.2
ENSG00000265340	OR4K7P	18	14570843	14571787	1	p11.21
ENSG00000266693	OR4K8P	18	14613136	14614183	1	p11.21
ENSG00000176246	OR4L1	14	20528204	20529142	1	q11.2
ENSG00000176299	OR4M1	14	20248401	20249516	1	q11.2
ENSG00000182974	OR4M2	15	22368478	22369561	1	q11.2
ENSG00000258564	OR4N1P	14	20264504	20265419	1	q11.2
ENSG00000176294	OR4N2	14	20187174	20296531	1	q11.2
ENSG00000259435	OR4N3P	15	22413569	22414386	1	q11.2
ENSG00000183706	OR4N4	15	22382382	22383507	1	q11.2
ENSG00000184394	OR4N5	14	20611895	20612821	1	q11.2
ENSG00000188439	OR4P1P	11	55450715	55451850	1	q11
ENSG00000181927	OR4P4	11	55405834	55406772	1	q11
ENSG00000258652	OR4Q1P	15	22332815	22333350	1	q11.2
ENSG00000196383	OR4Q2	14	20470322	20471265	1	q11.2
ENSG00000182652	OR4Q3	14	20215587	20216528	1	q11.2
ENSG00000255215	OR4R1P	11	48507915	48508377	-1	p11.2
ENSG00000255560	OR4R2P	11	51461564	51462160	1	p11.12
ENSG00000254624	OR4R3P	11	49944601	49945438	1	p11.12
ENSG00000176555	OR4S1	11	48327775	48328704	1	p11.2
ENSG00000174982	OR4S2	11	55418380	55419315	1	q11
ENSG00000258641	OR4T1P	14	20561512	20562422	1	q11.2
ENSG00000258899	OR4U1P	14	20512075	20512986	1	q11.2
ENSG00000254841	OR4V1P	11	55441012	55442151	1	q11
ENSG00000176567	OR4X1	11	48285413	48286330	1	p11.2
ENSG00000172208	OR4X2	11	48266608	48267622	1	p11.2
ENSG00000255077	OR4X7P	11	55179002	55179193	1	q11
ENSG00000172320	OR5A1	11	59210617	59211667	1	q12.1
ENSG00000172324	OR5A2	11	59189416	59190449	-1	q12.1
ENSG00000213439	OR5AC1	3	97783316	97784240	1	q11.2
ENSG00000196578	OR5AC2	3	97806017	97806946	1	q11.2
ENSG00000251090	OR5AC4P	3	97823598	97824516	1	q11.2
ENSG00000268067	OR5AH1P	19	57272301	57272583	1	q13.43
ENSG00000255083	OR5AK1P	11	56785575	56786361	1	q12.1
ENSG00000181273	OR5AK2	11	56756347	56757342	1	q12.1
ENSG00000181282	OR5AK3P	11	56738325	56739621	1	q12.1
ENSG00000224196	OR5AK4P	11	56804912	56805009	1	q12.1
ENSG00000181395	OR5AL1	11	56180220	56181144	1	q12.1
ENSG00000255466	OR5AL2P	11	56161205	56162124	1	q12.1
ENSG00000255172	OR5AM1P	11	56387255	56388286	-1	q12.1
ENSG00000176495	OR5AN1	11	59131885	59132921	1	q12.1
ENSG00000235678	OR5AN2P	11	59077154	59078049	-1	q12.1
ENSG00000272676	OR5AO1P	11	56812566	56812865	1	q12.1
ENSG00000254795	OR5AP1P	11	56400640	56401579	-1	q12.1
ENSG00000172464	OR5AP2	11	56408942	56409947	-1	q12.1
ENSG00000184741	OR5AQ1P	11	55821840	55822779	1	q12.1
ENSG00000172459	OR5AR1	11	56431138	56432163	1	q12.1
ENSG00000181785	OR5AS1	11	55797895	55798869	1	q12.1
ENSG00000169327	OR5AU1	14	21623026	21624222	-1	q11.2
ENSG00000229082	OR5AW1P	X	130475421	130476426	-1	q26.2
ENSG00000180714	OR5AZ1P	11	57684769	57685711	-1	q12.1
ENSG00000255096	OR5B10P	11	58116462	58117103	-1	q12.1
ENSG00000172362	OR5B12	11	58206593	58207646	-1	q12.1
ENSG00000273408	OR5B15P	11	58155056	58155959	-1	q12.1
ENSG00000197786	OR5B17	11	58125597	58126542	-1	q12.1
